NU_CNPB_PLANO_DA;SG_PLANO_DA;NM_SITUACAO_PLANO_DA;NM_CARACTERISTICA;NM_MODALIDADE;NM_LEGISLACAO;NU_DURATION_MESES;TE_OBSERVACAO_DURATION;CS_MOTIVO;TIPO;CS_SITUACAO;DT_AVALIACAO;DT_CADASTRO;TE_OBSERVACOES;TE_RELATORIOS;IN_PATRIMONIO_GRUPO;VL_PATRIMONIO_COBERTURA;VL_INSUFICIENC_COBERTURA;DT_TRANSMISSAO;ID_RETIFICADA;NM_ATUARIO;NU_REGISTRO_MIBA;NU_REGISTRO_MTE;NM_EMPRESA_EXTERNA;NM_PLANO_DA;SG_EFPC_DA;NU_CNPJ_EFPC_DA;NM_RAZAO_SOCIAL_EFPC_DA;NU_MATRICULA_EFPC
1981000747;PBD-I;ATIVO;Patrocinado;Benefício Definido;LC 109;110;"A duration foi calculada com base no passivo atuarial do Plano, cujos benefícios são calculados no modelo de Benefício Definido calculado de acordo com a Planilha de cálculo da PREVIC
";1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;14402052.68;0;06/03/2023 00:00;;FELIPE TEIXEIRA MARTINI;;3501;todo;PLANO DE BENEFÍCIO I - PBD-I;FAPERS;8.77522E+13;FUNDACAO ASSISTENCIAL E PREVIDENCIARIA DA EXTEN RURAL NO RS;1403
2000008038;PLANO MISTO;ATIVO;Patrocinado;Contribuição Variável;LC 108/109;110;A duration do Plano foi calculada com base no passivo atuarial do Plano, cujos benefícios são calculados no modelo de Benefício Definido calculado de acordo com a Planilha de cálculo da PREVIC.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;222276199.8;-16828842.77;06/03/2023 00:00;;FELIPE TEIXEIRA MARTINI;;3501;todo;PLANO DE BENEFÍCIOS II;FAPERS;8.77522E+13;FUNDACAO ASSISTENCIAL E PREVIDENCIARIA DA EXTEN RURAL NO RS;1403
2008004783;PGS;ATIVO;Patrocinado;Benefício Definido;LC 108/109;127;A duration do Plano foi calculada com base no passivo atuarial do Plano, cujos benefícios são calculados no modelo de Benefício Definido calculado de acordo com a Planilha de cálculo da PREVIC.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;273525448.3;-45307358.53;06/03/2023 00:00;;FELIPE TEIXEIRA MARTINI;;3501;todo;PLANO GERAL SALDADO;FAPERS;8.77522E+13;FUNDACAO ASSISTENCIAL E PREVIDENCIARIA DA EXTEN RURAL NO RS;1403
1979003718;PLANO BD;ATIVO;Patrocinado;Benefício Definido;LC 109;99;A duração do passivo é de 8,2720 anos (99 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;30/09/2022 00:00;;;1;215058375;0;07/03/2023 00:00;;GABRIEL BARROS MAGNO LINS;3436;3436;TOWERS WATSON CONSULTORIA LTDA;PLANO DE BENEFÍCIO DEFINIDO;ITAUSAINDL;3.66402E+11;FUNDACAO ITAUSA INDUSTRIAL;3023
2007003856;DACARPREV;ATIVO;Patrocinado;Contribuição Definida;LC 109;120;Prazo de 120 meses por se tratar de Plano CD;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;6743600.44;;08/03/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATU-VERITA - ASSESSORIA E CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS DACARPREV;ICATUFMP;1.12902E+12;ICATU FUNDO MULTIPATROCINADO;3438
2007003856;DACARPREV;ATIVO;Patrocinado;Contribuição Definida;LC 109;120;Prazo de 120 meses por se tratar de Plano CD;1;Simplificada;2;31/12/2022 00:00;31/12/2022 00:00;;;1;6743600.44;;08/03/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO DE BENEFÍCIOS DACARPREV;ICATUFMP;1.12902E+12;ICATU FUNDO MULTIPATROCINADO;3438
2013000847;PLANO MISTO;ATIVO;Patrocinado;Contribuição Definida;LC 108/109;999;Valor indicado como 999 meses considerando se tratar de um plano estruturado na modalidade de contribuição definida.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;254328698.5;0;09/03/2023 00:00;;JOSE ROBERTO SANTOS MONTELLO;426;426;JESSE MONTELLO SERVICOS TECNICOS EM ATUARIA E ECON LTDA;PLANO DE BENEFÍCIOS II;SAO FRANCISCO;1.63567E+12;FUNDACAO SAO FRANCISCO DE SEGURIDADE SOCIAL;922
1974000192;ULTRAPREV;ATIVO;Patrocinado;Contribuição Definida;LC 109;72;Contempla somente a massa fechada de Assistidos e Pensionistas na modalidade de Benefício Definido. A duration consta da Planilha DPAP 2022.;1;Completa;2;31/12/2022 00:00;31/10/2022 00:00;;;1;1023233448;0;10/03/2023 00:00;;MAGDA TSUÊ MASSIMOTO ARDISSON;462;462;ESCRITORIO TECNICO DE ASSESSORIA ATUARIAL SOCIEDADE SIMPLES LTDA .;PLANO ULTRAPREV DE SUPLEMENTAÇÃO DE BENEFÍCIOS;ULTRAPREV;2.99811E+13;ULTRAPREV ASSOCIACAO DE PREVIDENCIA COMPLEMENTAR;2066
1981001018;PLANO BD;ATIVO;Patrocinado;Benefício Definido;LC 108/109;107;A duração do passivo foi calculada em 8,89 anos através do sistema venturo da Previc, utilizando o fluxo probabilístico de receitas e despesas previdenciárias na posição de 31/12/2022, equivalente a média ponderada dos prazos dos fluxos de pagamentos de benefícios do Plano, líquidos de contribuições incidentes sobre esses benefícios.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;322714043.3;0;10/03/2023 00:00;;JOSE ROBERTO SANTOS MONTELLO;426;426;JESSE MONTELLO SERVICOS TECNICOS EM ATUARIA E ECON LTDA;PLANO DE BENEFICIOS I;SAO FRANCISCO;1.63567E+12;FUNDACAO SAO FRANCISCO DE SEGURIDADE SOCIAL;922
2017001392;PLANO SALDADO;ATIVO;Patrocinado;Benefício Definido;LC 108/109;140;A duração do passivo foi calculada em 11,67 anos através do sistema venturo da Previc, utilizando o fluxo probabilístico de receitas e despesas previdenciárias na posição de 31/12/2022, equivalente à média ponderada dos prazos dos fluxos de pagamentos de benefícios do Plano, líquidos de contribuições incidentes sobre esses benefícios.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;396542839.3;0;10/03/2023 00:00;;JOSE ROBERTO SANTOS MONTELLO;426;426;JESSE MONTELLO SERVICOS TECNICOS EM ATUARIA E ECON LTDA;PLANO DE BENEFÍCIOS III SALDADO;SAO FRANCISCO;1.63567E+12;FUNDACAO SAO FRANCISCO DE SEGURIDADE SOCIAL;922
1983000418;PLANO FRANPREV;ATIVO;Patrocinado;Benefício Definido;LC 109;132;A duração do passivo é de 10,9605 anos (132 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;30/09/2022 00:00;;;1;335054331;-10546460.57;10/03/2023 00:00;;TAINA MOUTINHO DE OLIVEIRA;2213;2213;TOWERS WATSON CONSULTORIA LTDA;PLANO DE BENEFÍCIOS FRANPREV;ITAU UNIBANCO;6.11552E+13;FUNDACAO ITAU UNIBANCO - PREVIDENCIA COMPLEMENTAR;611
1984001019;PREBEG;ATIVO;Patrocinado;Benefício Definido;LC 109;127;A duração do passivo é de 10,6185 anos (127 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;30/09/2022 00:00;;;1;2167834971;0;10/03/2023 00:00;;TAINA MOUTINHO DE OLIVEIRA;2213;2213;TOWERS WATSON CONSULTORIA LTDA;PLANO DE BENEFÍCIOS PREBEG;ITAU UNIBANCO;6.11552E+13;FUNDACAO ITAU UNIBANCO - PREVIDENCIA COMPLEMENTAR;611
1993003411;GEBSA PREV;ATIVO;Patrocinado;Contribuição Variável;LC 109;102;A duration do passivo é definida a partir do valor presente do fluxo atuarial líquido do plano de benefícios, trazido a valor presente com base na taxa real de juros utilizada na avaliação atuarial, ponderado pelo tempo acumulado do fluxo, conforme Instrução PREVIC nº 33/2020 e sistema Venturo da PREVIC.;1;Completa;2;31/12/2022 00:00;31/07/2022 00:00;O presente documento tem como finalidade apresentar o Parecer Técnico Atuarial do Plano, decorrente da Avaliação Atuarial Anual, referente ao encerramento do exercício.;;1;1745460842;-18581.03;11/03/2023 00:00;;DANIEL PEREIRA DA SILVA;1146;1146;todo;PLANO DE APOSENTADORIA;GEBSA-PREV;7.39959E+13;GEBSA-PREV-SOCIEDADE DE PREVIDENCIA PRIVADA;2909
1999005147;PLANO MISTO;ATIVO;Patrocinado;Contribuição Variável;LC 108/109;101;Duration calculada somente para os benefícios BD;1;Completa;2;31/12/2022 00:00;31/08/2022 00:00;;;1;552657874.6;0;13/03/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO MISTO DE BENEFÍCIOS PREVIDENCIÁRIOS DA FAPA;FAPA;7.77943E+13;FUNDACAO DE PREVIDENCIA DO INSTITUTO EMATER-FAPA;1393
1997001829;BRASILSAT;ATIVO;Patrocinado;Contribuição Variável;LC 109;100;"Cálculo da duração do passivo considerando somente os benefícios BD
";1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;12132015.71;0;13/03/2023 00:00;;RITA PASQUAL ANZOLIN;822;MIBA 822;ATUAPREV CONSULTORIA ATUARIAL LTDA;PLANO BRASILSAT;FUND. BRASILSAT;2.18188E+12;FUNDACAO BRASILSAT;3647
1980001774;PLANO BÁSICO;ATIVO;Patrocinado;Contribuição Variável;LC 109;89;A duração do passivo é de 7,4292 anos (89 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;31/07/2022 00:00;;;1;564513448;-1219445.91;13/03/2023 00:00;;VALÉRIA AMADEU MONTEIRO;845;845;TOWERS WATSON CONSULTORIA LTDA;PLANO DE APOSENTADORIA BÁSICO;FUNDAMBRAS;4.47486E+13;FUNDAMBRAS SOCIEDADE DE PREVIDENCIA PRIVADA;1537
1988000165;PLANO SUPLEMENTAR;ATIVO;Patrocinado;Contribuição Variável;LC 109;95;A duração do passivo é de 7,9112 anos (95 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;31/07/2022 00:00;;;1;504208603.8;-1548834.87;13/03/2023 00:00;;VALÉRIA AMADEU MONTEIRO;845;845;TOWERS WATSON CONSULTORIA LTDA;PLANO DE APOSENTADORIA SUPLEMENTAR;FUNDAMBRAS;4.47486E+13;FUNDAMBRAS SOCIEDADE DE PREVIDENCIA PRIVADA;1537
2008004619;PREVDATA II;ATIVO;Patrocinado;Contribuição Variável;LC 108/109;120;O período da duration do passivo apurada conforme a Instrução Previc nº 33, de 23/10/2020.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;736975641.4;0;13/03/2023 00:00;;SERGIO MENDES DE AZEVEDO TINOCO;305;305;todo;PLANO DE PREVIDÊNCIA NA MODALIDADE CONTRIBUIÇÃO VARIÁVEL DA PREVDATA;PREVDATA;3.02581E+13;SOCIEDADE DE PREV. COMPLEMENTAR DA DATAPREV - PREVDATA;1715
2010002083;PLANO DE BENEFÍCIOS;ATIVO;Patrocinado;Contribuição Definida;LC 109;77;A duração do passivo é de 6,3949 anos (77 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;31/07/2022 00:00;;;1;411452301.4;0;13/03/2023 00:00;;CARLA MARIA SEABRA ASSUNÇAO LOBIANCO ;842;842;TOWERS WATSON CONSULTORIA LTDA;PLANO DE BENEFÍCIOS;PREVEME II;1.10487E+13;SOCIEDADE PREVIDENCIARIA 3M - PREVEME II;4604
1982003065;PREVEME;ATIVO;Patrocinado;Benefício Definido;LC 109;128;A duração do passivo é de 10,6928 anos (128 meses) e foi apurada com base nos resultados desta avaliação atuarial adotando a metodologia definida pela Previc na Instrução Normativa nº 33, de 23/10/2020, após preenchimento, pela Entidade, dos fluxos de pagamentos de benefícios do plano, líquidos de contribuições incidentes sobre esses benefícios, no Sistema Venturo do site da Previc.;1;Completa;2;31/12/2022 00:00;31/07/2022 00:00;;;1;937634874.1;-70919119.86;13/03/2023 00:00;;CARLA MARIA SEABRA ASSUNÇAO LOBIANCO ;842;842;TOWERS WATSON CONSULTORIA LTDA;PLANO DE BENEFÍCIOS DA PREVEME;PREVEME;5.19194E+13;SOCIEDADE PREVIDENCIARIA 3M PREVEME;1746
1979000174;PRV;ATIVO;Patrocinado;Benefício Definido;LC 108/109;138;O período da duration do passivo apurada conforme a Instrução Previc nº 33, de 23/10/2020, foi de 138 meses (11,5 anos), correspondendo ao período de 2023 a 2034, sendo o mais relevante para balizar as operações identificadas pelo monitoramento.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;1084837880;-54233877.78;13/03/2023 00:00;;SERGIO MENDES DE AZEVEDO TINOCO;305;305;todo;PLANO DE RENDA VINCULADA - PRV;PREVDATA;3.02581E+13;SOCIEDADE DE PREV. COMPLEMENTAR DA DATAPREV - PREVDATA;1715
1987001011;CNI / IEL - PREVIND I;ATIVO;Patrocinado;Benefício Definido;LC 109;109;Calculada por meio do Sistema Venturo, Portaria PREVIC N.º 835 de 01/12/2020, publicada no DOU de 03/12/2020.;1;Completa;2;31/12/2022 00:00;30/06/2022 00:00;;;1;106544949.7;0;14/03/2023 00:00;;PAULA VIEIRA MACHADO DA C C D A MARQUES                               ;1374;1374;todo;CNI / IEL - PREVIND I;MULTIBRA;3.04598E+13;MULTIBRA FUNDO DE PENSAO;1482
2005001538;PB DME - II;ATIVO;Patrocinado;Contribuição Definida;LC 108/109;0;Plano estruturado na modalidade de Contribuição Definida.;1;Simplificada;2;31/12/2022 00:00;31/08/2022 00:00;;;1;77534620.73;;14/03/2023 00:00;;MAGDA TSUÊ MASSIMOTO ARDISSON;462;462;ESCRITORIO TECNICO DE ASSESSORIA ATUARIAL SOCIEDADE SIMPLES LTDA .;PLANO DE BENEFÍCIOS DME - II;SUPREV;4.9323E+13;SUPREV-FUNDACAO MULTIPATROCINADA DE SUPLEMENTACAO PREV;984
1987001811;CETIQT (PREVIND);ATIVO;Patrocinado;Benefício Definido;LC 109;123;Calculada por meio do Sistema Venturo, Portaria PREVIC N.º 835 de 01/12/2020, publicada no DOU de 03/12/2020.;1;Completa;2;31/12/2022 00:00;30/06/2022 00:00;;;1;39103416.09;0;14/03/2023 00:00;;PAULA VIEIRA MACHADO DA C C D A MARQUES                               ;1374;1374;todo;PLANO DE BENEFÍCIOS CETIQT (PREVIND);MULTIBRA;3.04598E+13;MULTIBRA FUNDO DE PENSAO;1482
1981000992;PB 001;ATIVO;Patrocinado;Benefício Definido;LC 109;92;A duration consta da Planilha DPAP 2022.;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;;;1;49638640.83;0;14/03/2023 00:00;;MAGDA TSUÊ MASSIMOTO ARDISSON;462;462;ESCRITORIO TECNICO DE ASSESSORIA ATUARIAL SOCIEDADE SIMPLES LTDA .;PLANO DE BENEFÍCIOS N.º 001 - BROOKLYN;SUPREV;4.9323E+13;SUPREV-FUNDACAO MULTIPATROCINADA DE SUPLEMENTACAO PREV;984
1994002883;PB DME;ATIVO;Patrocinado;Benefício Definido;LC 108/109;263;A duration consta da Planilha DPAP 2022.;1;Completa;2;31/12/2022 00:00;31/08/2022 00:00;;;1;15680321.46;0;14/03/2023 00:00;;MAGDA TSUÊ MASSIMOTO ARDISSON;462;462;ESCRITORIO TECNICO DE ASSESSORIA ATUARIAL SOCIEDADE SIMPLES LTDA .;PLANO DE BENEFÍCIOS N.º 006 - DME;SUPREV;4.9323E+13;SUPREV-FUNDACAO MULTIPATROCINADA DE SUPLEMENTACAO PREV;984
2012001718;PB CD-02;ATIVO;Patrocinado;Contribuição Definida;LC 108/109;120;A duration do passivo e definida a partir do valor presente do fluxo atuarial liquido do plano de beneficios, trazido a valor presente com base na taxa real de juros utilizada na avaliacao atuarial, ponderado pelo tempo acumulado do fluxo, conforme Instrucao PREVIC n 33/2020 e sistema Venturo da PREVIC. Tendo em vista a modalidade do Plano, qual seja, Contribuicao Definida, a duration foi definida em 10 anos (120 meses).;1;Simplificada;2;31/12/2022 00:00;30/11/2022 00:00;Avaliacao realizada para fins de encerramento do exercicio e fechamento do balanco anual da Fundacao.;;1;76098666.08;;14/03/2023 00:00;;DANIEL PEREIRA DA SILVA;1146;1146;todo;PLANO DE BENEFICIOS CD-02;REGIUS;1.22586E+12;REGIUS SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;895
2017000183;PB CD - 05;ATIVO;Patrocinado;Contribuição Definida;LC 109;120;A duration do passivo e definida a partir do valor presente do fluxo atuarial liquido do plano de beneficios, trazido a valor presente com base na taxa real de juros utilizada na avaliacao atuarial, ponderado pelo tempo acumulado do fluxo, conforme Instrucao PREVIC n 33/2020 e sistema Venturo da PREVIC. Tendo em vista a modalidade do Plano, qual seja, Contribuicao Definida, a duration foi definida em 10 anos (120 meses).;1;Simplificada;2;31/12/2022 00:00;30/11/2022 00:00;Avaliacao realizada para fins de encerramento do exercicio e fechamento do balanco anual da Fundacao.;;1;14873650.16;;14/03/2023 00:00;;DANIEL PEREIRA DA SILVA;1146;1146;todo;PLANO DE BENEFÍCIOS - CD - 05;REGIUS;1.22586E+12;REGIUS SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;895
1982000538;FUSANPREV;ATIVO;Patrocinado;Contribuição Variável;LC 108/109;97;;1;Completa;2;31/12/2022 00:00;31/12/2022 00:00;Avaliação de encerramento de exercício.;;1;1955926527;-71844602.79;14/03/2023 00:00;;NADILENE SMAHA;1437;1437;todo;PLANO DE BENEFÍCIOS PREVIDENCIÁRIOS - FUSANPREV;FUSAN;7.59924E+13;FUNDACAO SANEPAR DE PREVIDENCIA E ASSISTENCIA SOCIAL;535
1987001192;SENAI DN - PREVIND;ATIVO;Patrocinado;Benefício Definido;LC 109;99;Calculada por meio do Sistema Venturo, Portaria PREVIC N.º 835 de 01/12/2020, publicada no DOU de 03/12/2020.;1;Completa;2;31/12/2022 00:00;30/06/2022 00:00;;;1;59918125.76;-6938494.9;14/03/2023 00:00;;PAULA VIEIRA MACHADO DA C C D A MARQUES                               ;1374;1374;todo;SENAI DN - PREVIND;MULTIBRA;3.04598E+13;MULTIBRA FUNDO DE PENSAO;1482
1987001265;SESI DN- PREVIND;ATIVO;Patrocinado;Benefício Definido;LC 109;100;Calculada por meio do Sistema Venturo, Portaria PREVIC N.º 835 de 01/12/2020, publicada no DOU de 03/12/2020.;1;Completa;2;31/12/2022 00:00;30/06/2022 00:00;;;1;106464310.2;-8306049.34;14/03/2023 00:00;;PAULA VIEIRA MACHADO DA C C D A MARQUES                               ;1374;1374;todo;SESI DN- PREVIND;MULTIBRA;3.04598E+13;MULTIBRA FUNDO DE PENSAO;1482
1994004274;PREVI-FIERN BD;ATIVO;Patrocinado;Benefício Definido;LC 109;113;Calculada por meio do Sistema Venturo, Portaria PREVIC N.º 835 de 01/12/2020, publicada no DOU de 03/12/2020.;1;Completa;2;31/12/2022 00:00;30/06/2022 00:00;;;1;42063059.04;0;14/03/2023 00:00;;PAULA VIEIRA MACHADO DA C C D A MARQUES                               ;1374;1374;todo;PLANO PREVI-FIERN BD;MULTIBRA;3.04598E+13;MULTIBRA FUNDO DE PENSAO;1482
1988002656;SENAI - AM;ATIVO;Patrocinado;Benefício Definido;LC 109;186;Calculada por meio do Sistema Venturo, Portaria PREVIC N.º 835 de 01/12/2020, publicada no DOU de 03/12/2020.;1;Completa;2;31/12/2022 00:00;30/06/2022 00:00;;;1;13267757.36;0;14/03/2023 00:00;;PAULA VIEIRA MACHADO DA C C D A MARQUES                               ;1374;1374;todo;PLANO DE BENEFÍCIOS DE PREVISAM I - SENAI-AM;MULTIBRA;3.04598E+13;MULTIBRA FUNDO DE PENSAO;1482
