ID_GRUPO_CUSTEIO_DA;ID_GRUPO_CUSTEIO;NU_MATRICULA_EFPC;ID_DEMONSTRACAO_ATUARIAL;NU_CNPB_PLANO_DA;QT_PARTICIPANTES_ATIVOS;VL_FOLHA_SALARIO;QT_MESES_CONTRIBUICAO;QT_MESES_APOSENTADORIA;NU_GRUPO_CUSTEIO;NM_GRUPO_CUSTEIO
31288;167;2004;3094995;1987001729;693;3056493540;175;136;1;Plano Unificado
30524;169;3126;2679005;1997001918;1961;139155153.4;108;240;1;SWPrev
30553;170;4203;2682936;2000006574;8149;491637672.1;218;95;1;TELEMARPREV
31221;171;4203;2732334;2000002838;665;72354364.47;265;69;1;TCSPREV
30660;173;2155;2683115;1985000938;2302;293435861;150;100;1;Plano Previplan
31069;174;1033;2694666;2000007538;1071;86470650.5;240;96;1;USIMINAS/PREVIDENCIA
31070;175;1033;2694666;2000007538;3;0;0;0;2;USIMINAS MECANICA
30792;176;1033;2685136;1975000218;16;748346.3;300;108;1;PBD
31029;179;941;2690454;1980001618;1528;130777465.9;479;1;1;PS-I
30585;180;2231;2683002;1982002883;87;4485120.64;290;74;1;GERAL
30056;187;1715;2653896;2008004619;2825;37751057.22;124;60;1;CV PREVDATA II
30588;188;2231;2683008;1994001518;4;176277.53;258;95;1;GERAL
30722;207;309;2684930;1979003629;243;57350793.15;250;136;1;Plano BD
30461;208;268;2677513;1979003874;4184;426820197.1;189;196;1;Ativos
30136;210;2083;2659913;2000008283;17937;728411248;98;172;1;VALIAPREV - Total
30913;212;1732;2688364;1985001111;16;2996187.09;390;2;1;ATIVOS
31030;214;941;2690456;1998007774;6173;1204597558;165;128;1;PS-II
30597;215;1381;2682844;2006005138;845;90539094.1;148;158;1;Único
30558;217;4131;2682948;1987000374;7;321920.43;336;36;1;ENERGISA/FUNASA
31027;228;967;2690448;2000000819;2;281437;286;95;1;PLANO PBS - CPQD
30564;229;4131;2682956;2008004392;16;446758;208;122;1;ENERGISA/FUNASA
30562;230;4131;2682954;2008004211;63;0;0;37;1;ENERGISA/FUNASA
30482;231;731;2677573;1982002956;187;26939082.17;317;45;1;Plano Bayer BD
31226;235;93;2732766;1994000619;207;19082492.13;336;36;1;Santander/Isban/Prod
31229;236;93;2732766;1994000619;4;0;336;0;2;Santander Serviços
31138;247;1911;2698641;1987000218;0;0;0;0;1;FIESC BD
30590;248;2231;2683012;1992000956;348;0;144;187;1;GERAL
31021;249;967;2690432;1991001029;0;0;0;0;1;PBS-A 1
30206;256;655;2662657;2009000374;45;0;129;167;1;PreviContas
31042;260;1911;2692118;1999002156;548;31675077.98;84;152;1;SENACPREV
30681;261;1239;2683145;1982002247;483;0;336;76;1;BSPS
30670;262;1523;2683131;1977000274;962;162854435.8;424;2;1;Não Saldado
30669;263;1523;2683131;1977000274;8776;5583705832;406;1;2;Saldado
30555;265;2231;2682942;2010002474;696;0;311;65;1;GERAL
30649;266;1599;2683097;1979001219;53;5915488.28;472;5;1;Grupo Único
31047;268;1911;2692152;1994001992;3;131049.72;336;31;1;SENAI-MA BD
30589;269;2231;2683010;1982002719;25;0;295;22;1;GERAL
30089;270;3678;2656169;2008001474;772;55004968.11;51;198;1;SESI
30092;271;3678;2656169;2008001474;635;47418995.47;59;195;2;SENAI
30090;272;3678;2656169;2008001474;57;5246500.18;89;197;3;CIERGS
30088;273;3678;2656169;2008001474;8;1033917.03;74;129;4;IEL
30091;274;3678;2656169;2008001474;14;763824.11;130;64;5;CONDOMÍNIO
31028;287;1479;2690452;1997002892;148;2071682.34;454;28;1;Patrocinadora
30959;288;1479;2689173;1997002711;5737;935356896.5;186;53;1;Patrocinadora
30463;289;1105;2677523;1974000419;2;232757.2;420;18;1;Grupo Custeio A/B
30341;292;4181;2672426;2004000147;1240;156053058.6;156;198;1;PCV - CAGECE
30657;293;2231;2682897;2008003019;83;11090987.83;145;118;1;GERAL
30480;296;4131;2677571;1998006311;116;3736365.72;139;161;1;Elétricas-OP
30711;297;3678;2683435;2005002038;0;0;0;0;1;PAQUETAPrev
30991;298;802;2689623;1977000118;4;274120.73;500;0;1;PLANO PREVIDENCIAL A
30995;299;802;2689631;2003001956;557;110017310.4;112;178;1;PLANO PREVIDENCIAL B
30972;300;1051;2689240;1991001411;23959;1931925660;113;191;1;19910014-11 WSS
30687;310;655;2683149;2007001519;0;0;0;0;1;PLANO PETROS 2 / BD
30319;311;3188;2670403;2002000719;787;122935359.4;154;149;1;EBC PREV
30650;314;1599;2683099;2001002483;367;84905148.81;151;200;1;Grupo Único
31159;315;1256;2710669;2009001265;3;215396.22;108;246;2;ABR
30656;316;2231;2682895;2011001218;134;14373492.77;65;209;1;GERAL
30314;317;1434;2670345;2000000411;36;829574.62;164;160;1;20000004-11
30130;318;2083;2659681;1973000156;10;229068.3;409;5;1;BD - Total
30129;319;2083;2659679;1995002356;0;0;0;0;1;CENIBRA - Total
30065;320;535;2655730;1982000538;6042;46641751.8;221;108;1;Grupo FusanPrev
30896;325;271;2688312;1983000256;74;4344987.41;268;121;1;Plano de Custeio 01
31025;326;967;2690442;2000001947;6;1032065.71;525;0;1;GERAL
30232;327;401;2664734;1988000629;76;3113128.56;402;40;1;Plano BD
30515;329;312;2678813;1978000138;2077;1530722.05;389;39;1;Geral
30233;330;401;2664736;1997000611;4160;411091717.1;163;215;1;Plano CD - SCruz
30919;332;494;2688383;1981001174;306;0;228;121;1;FUCAP
30395;333;494;2675541;2010000838;567;0;68;142;1;SALUTARPREV
30873;334;237;2686735;2007000792;4256;62251516.77;150;145;1;Embrapa-FlexCeres
30540;337;326;2679059;2000005683;1070;237475077.3;135;165;1;Pat. ONS
30615;338;2525;2683048;1974000265;325;71664820.89;281;71;1;BD-ESUL
30618;341;2525;2683058;2009003756;919;210454908;170;146;1;CD-ESUL
30139;358;4831;2659926;1988002729;0;0;0;0;1;COSERN
30880;360;237;2686749;2007001047;26;337142.96;311;120;1;Ceres Básico
30879;361;237;2686747;2007000865;77;955187.84;158;202;1;Ceres-FelxCeres
30871;362;237;2686731;1981000119;1;4281.65;430;72;1;Epagri Básico
30870;363;237;2686729;2005002356;1268;14135628.76;216;150;1;Epagri-FlexCeres
31053;364;237;2692449;2005002283;356;3738531.35;412;53;1;Epagri Saldado
30877;365;237;2686743;1982000147;3;2035.75;334;146;1;Emater Básico
30876;366;237;2686741;2007002647;1311;10022634.25;249;141;1;Emater-FlexCeres
30875;367;237;2686739;2007002574;941;7571742.65;299;124;1;Emater Saldado
30869;368;237;2686725;1982000856;0;0;0;0;1;Epamig Básico
31054;369;237;2692455;2007003392;458;2985363.17;251;122;1;Epamig-FlexCeres
30867;370;237;2686719;2007003147;305;1760461.58;316;101;1;Epamig Saldado
30878;371;237;2686745;2009001192;442;5135006.46;102;177;1;Cidasc-FlexCeres
30545;378;727;2688276;1971000256;3;700798.54;472;0;1;PLANO PLENUS
30113;398;4831;2657811;1998006565;68;6473025;139;0;1;Plano CD
31277;400;2169;2947228;1999000374;1248;125992406.3;129;166;1;PlanoPACV
30494;403;1273;2677599;1985000229;0;0;0;0;1;SOMUPP
30150;419;655;2661189;2005000711;19;0;178;68;1;Plano de Custeio I
30167;420;655;2661398;2006000511;0;0;0;0;1;PLANO DE CUSTEIO 1
30887;421;1541;2688295;1986000656;13;1502249.84;391;39;1;Gasius
30153;422;655;2661197;2009001974;11;0;136;114;1;Custeio Prev-ESTAT
30537;425;1184;2679037;1979005583;27262;0;203;0;1;BD
30102;427;3678;2657547;1989000819;171;22389648.68;241;163;1;SENAI-RS
30058;428;1746;2654529;1982003065;2376;161645229.8;264;156;1;PREVEME
30184;429;3438;2662219;2007001111;495;57103959.36;120;186;1;T-SYSTEMS
30372;432;3085;2673195;2000007074;158;12660264.36;178;124;3;Plano Misto
30984;433;2991;2689589;1994002492;2718;196700772;134;238;1;PATROC APERAM
30983;434;2991;2689589;1994002492;18;1598420;105;263;2;PATROC ACEPREV
30994;435;1911;2689629;2006005847;297;16945002.26;96;217;1;SENAI-MA CD
30016;438;3438;2651423;2007003856;64;4090880.16;124;173;1;DACARPREV
30908;439;1911;2688338;1993001311;0;0;0;0;1;SESC BD
30964;440;3321;2689202;1995002992;10059;561394571.4;108;252;1;1 - Tramontinaprev
30063;459;984;2655351;1994002883;15;113866.84;275;120;1;DME
30668;460;1523;2683129;1998004465;11571;976066332.4;229;113;1;REB
30364;461;1523;2672477;2006003674;81545;13295220751;165;98;1;NOVO PLANO
30544;462;1184;2679098;1984000111;274;18816782.59;156;185;1;BD1
30543;464;1184;2679094;1984000292;6005;461334263.7;372;16;1;BD1
31215;465;93;2727360;2000002692;190;16253717.87;228;12;1;Santander/Isban/Prod
30194;466;3438;2662245;2009003519;44;1513834;101;283;1;Barueri
30751;467;2258;2685077;1994001747;1556;79649466.36;144;230;1;44023471000190
30147;468;655;2661181;2004001356;167;0;124;144;1;Participantes
30431;473;792;2676285;1998000974;10;2735515.11;376;10;1;PLANO 2-A
30430;474;792;2676281;1998000818;0;0;0;0;1;PLANO 3-A
30433;476;792;2676293;1999002938;0;0;0;0;2;PLANO 01-B - CD
30432;477;792;2676293;1999002938;2077;632479936.8;223;117;3;PLANO 01-B - BD
30429;478;792;2676277;1988000718;19;9364292.29;385;8;2;PLANO 01-A
30342;479;3531;2672428;1996003038;961;36759011.88;96;192;1;Grupo RBS - I
30191;480;3438;2662245;2009003519;1402;52358726;145;210;2;Guarulhos
30195;481;3438;2662245;2009003519;545;60322847;61;244;3;JundiCamaçariPGrossa
30193;482;3438;2662245;2009003519;30;0;0;0;4;Manaus
30196;485;3438;2662245;2009003519;204;25195958;106;212;5;Varzea Paulista
30982;486;967;2689583;2000000983;0;0;0;0;1;GERAL
30310;487;4203;2670319;2000001319;20;354707.73;319;56;1;PBS TNC
31004;488;967;2690171;2000004318;312;53901871.14;232;51;1;GERAL
30993;489;967;2689625;2002003947;268;40428913.2;176;127;1;GERAL
30359;490;4203;2672458;2004000929;9;477656;286;89;1;CELPREV
30155;495;655;2661201;2009003047;9;0;133;327;1;Plano de Custeio I
30476;496;3438;2677557;2005002992;2024;172146038.4;79;190;1;Icatu Seguros CD
30898;498;309;2688314;2011000165;96;15373700.94;96;285;1;Plano CV
30279;499;3188;2668237;1996004883;1131;157391414.4;259;145;1;CPRM PREV
31208;500;1239;2721545;1979003165;274;43085197.22;343;65;1;BSPS
30631;502;1239;2683070;1979003238;513;65276522.09;343;44;1;BSPS
30180;504;3304;2661730;1995002747;8337;212538636.3;204;192;1;MARCOPREV BD
30368;505;655;2672482;2004002638;1352;148305157.3;146;141;1;SANASA - CD
30259;506;2931;2666863;1994000211;16381;701549117;72;288;1;Randon1
30706;507;1239;2683457;1979002738;48;0;357;39;1;BSPS
30109;508;165;2657657;1979001911;6;438271;408;34;1;Único
30277;521;3188;2667575;1997002183;0;0;0;0;1;ARYSTA LIFESCIENCE
30158;523;655;2661209;2002000492;545;42818646.39;95;234;1;Custeio ALESAT
31022;524;4577;2690410;2008003892;1194;0;70;171;1;Instituído
31023;525;4577;2690412;2010001974;140;0;100;249;1;Patrocinado
30974;527;1911;2689259;2008003183;492;28295728.76;96;123;1;Custeio FIEPA
30852;528;3438;2686642;2005006556;510;30691849.88;125;136;2;Custeio FIEPEprev
30899;529;1911;2688316;2009003365;290;21147665.76;85;184;1;Custeio PrevFIEA
30243;541;3438;2665760;2005003638;302;12549906;73;228;5;Jaguari
30242;542;3438;2665760;2005003638;2708;113550954;43;220;6;CPFL
30360;543;3438;2672413;2008003256;168;23774831.86;108;240;1;SABIC-PREV
30317;544;3438;2670361;1989001238;111;12402692.28;130;84;1;Lufthansa
30527;545;312;2679011;1978000219;1053;250234377.3;524;0;1;Geral
30119;546;3438;2659391;2009002083;356;31673420.64;56;215;1;CD XPrev
30836;547;211;2685261;1996005138;2044;298130880.5;211;107;1;Custeio Plano Misto
30943;548;59;2689141;1982001811;0;0;0;0;1;Plano BD II
30942;552;59;2689137;1982000783;11;988084.5;302;36;1;Plano BD I
30531;554;312;2679019;2006003429;6720;952822983.7;164;80;1;Geral
31026;555;3438;2690418;2007001438;596;0;132;166;1;CNBPrev
30307;556;3188;2669251;2010000374;100;15239207.1;138;68;1;SGC PREV
30496;557;4131;2677605;2011001511;102;13303060.8;123;113;1;Pat. CERON
30578;559;1208;2682984;1998001474;0;0;0;0;1;35% da M S
30370;563;3188;2673165;1998005674;1712;77687610.26;53;298;1;CAMPOS PREV
30542;564;326;2679090;2009002938;295;60346394.55;130;183;1;Pat. EPE
30311;565;864;2670323;1971000183;677;164561996.6;360;108;1;Furnas Eletronuclear
30312;566;864;2670327;2002000311;2524;594750316.6;156;204;1;Furnas Real Grandeza
30541;567;326;2679990;2006001574;941;212315711.8;153;103;1;Pats. CD Eletrobras
30834;568;1911;2685258;1992001618;0;0;0;0;1;SENAI-PI BD
30015;569;3023;2649999;1979003718;68;2649868.28;324;96;1;ItausaBD
30418;570;2169;2676239;1972000111;1;276401.58;532;0;1;PlanoPCA
30176;572;1261;2661726;2005006165;1116;194343441.7;130;227;2;SBPL
30151;573;655;2661191;2006001256;46;0;135;172;1;Participante
30539;574;326;2679054;1979002118;16;3233980;336;12;1;Pats. BD ELETROBRÁS
30885;575;1239;2688290;1982002311;226;0;334;67;1;BSPS
31040;576;504;2692087;1982001119;253;24644712;420;9;1;PLANO FUNBEP I
30393;577;3188;2675493;1996001647;172;16377353.98;180;103;1;EDSERJ PREV
30128;578;504;2659675;1998002918;9;659047.22;288;36;1;FUNBEP II
30125;581;611;2659665;1979000956;631;59904022.56;372;24;1;Grupo 1
30085;582;3678;2656161;1990001319;194;21098605.82;262;139;1;PREVIND SESI/RS
30946;583;388;2689153;1985001438;212;21450608.92;441;1;1;unico
30149;586;655;2661187;2005000411;207;0;157;170;1;Participantes
30462;588;1033;2677517;1979003556;0;0;0;0;8;PB1
30573;589;953;2682971;1976000165;1;69707.95;425;144;1;Plano Custeio Único
30157;594;655;2661205;2000005918;38;4611744.93;167;205;2;CUSTEIO CDSA 2
30080;595;1585;2655974;2006000911;3741;581967327;72;264;1;Cultivos
30148;597;655;2661185;2004002565;70;0;180;116;1;Participantes
30756;598;2258;2685093;2006006411;85;532917.71;300;36;1;BD LANXESSPREV
30470;619;3188;2677543;2005000256;384;42830307.52;142;110;1;CAERN PREV
30396;620;3188;2675543;1997001047;39979;1690388312;60;279;1;AURORA PREV
30841;621;1911;2685274;2005004847;0;0;0;0;1;Custeio parte CD
30163;622;655;2661381;2010000447;683;99994876.54;109;183;1;Participantes
30386;623;3188;2674781;2001000847;2885;83861073.53;62;250;1;COSUEL PREV
30318;624;3188;2670401;2003001638;104;4395578.33;243;93;1;FUMEC PREV
30361;627;3188;2672460;2009002156;3529;470360815.7;211;137;1;HCPA PREV
30323;628;3188;2670411;2002000565;313;30875185.25;103;222;1;TRENSURB PREV
30004;630;299;2642297;1981000518;4817;18582061.49;482;0;2;Compl/Supl. Pensão
30164;631;655;2661385;2010001583;302;21479512.6;94;243;1;Participantes
30096;632;1482;2656189;2005004383;2141;113213421.4;143;182;1;GKN
30304;634;1434;2669219;1997000474;2;66469;165;282;1;CELPA BD-II
30609;635;1033;2683038;1996003674;15607;809522175;120;204;1;USIPREV
30678;636;655;2683141;2010004019;81;14442407.72;124;187;1;SULGASPREV - CD
30100;637;3811;2657047;1998004783;2119;326406521.1;84;156;1;Merck
30479;638;4131;2677569;1993001018;0;0;0;0;1;CEMAT BD-I
31122;639;3825;2694908;1998001083;546;40263633;144;252;1;MESSIUS PREV
30392;640;3188;2675491;1999002792;1027;102581698.8;121;200;1;CASSI PREV
30357;641;3251;2672442;1995001465;3017;247235282.5;130;186;1;International Paper
30761;642;2258;2685101;1996002147;654;45009794.31;149;238;1;Previleaf
30717;643;3188;2684922;2005006483;182;33525714.43;160;86;1;PROCEMPA PREV
30223;644;691;2663332;1981000429;41978;375476430.2;308;113;1;PBD
30493;645;4131;2677597;1998006719;65;2229321.48;144;167;1;CEMAT - OP
30165;648;655;2661392;2010002547;1402;114171963.6;132;136;1;Participantes
30478;649;4131;2677567;1986000419;0;0;0;0;1;ELETRICAS - BD I
30236;650;3304;2664746;1995002811;404;50048924.51;84;204;1;Grupo 1
30716;651;3188;2684919;2003000283;182;24242237.24;124;176;1;FUVATES PREV
30254;658;713;2665819;1983000183;48;4206722.65;412;4;1;PLANO PRECE I
30255;659;713;2665821;1998006174;38;3337881.17;411;4;1;PLANO PRECE II
30203;660;713;2662455;2006001892;419;59316158.2;96;109;1;PRECE III CD
31044;665;1911;2692130;2006001411;1807;73786702.84;72;178;1;SESCPrev CD
30423;667;4091;2676253;2002001529;3;126723.22;402;17;1;Plano BD
30902;669;2659;2688255;2000002447;3538;537860668.5;148;123;1;Participantes Ativos
30171;675;1434;2661457;1996002211;7;501387.34;319;88;1;PBPFACEAL 02
30278;676;3188;2667577;2000007856;200;22617683.92;105;210;1;1
30855;677;3188;2686566;2010005211;444;52426543.78;126;64;1;PREV FUPF CD
30369;678;3188;2672486;1989000983;4507;186573313.2;126;228;1;MAGNUS
31147;679;196;2707666;1984000438;2;83495.28;396;0;1;PBD
30264;680;731;2666898;1987000765;2823;330531577.9;147;229;1;Monsanto
30375;682;1482;2677420;2004001518;80;8664418;205;125;1;Air France
30374;683;1482;2677420;2004001518;15;2715433;137;118;2;KLM
30671;686;1239;2682908;1998007383;54;9461102.17;119;235;1;ABRAPPREV
30857;687;3188;2686576;2009002229;214;33384904.8;111;170;1;ARYSTA PREV
30391;689;3188;2675481;1998006247;711;72011860.7;142;244;1;ALLIANCE PREV
30352;690;211;2672434;1996005219;0;102481859.4;0;0;1;Custeio Transitório
30303;692;3188;2669215;1998004856;3842;199752903.4;78;275;1;ALFA PREV
30723;693;3188;2684353;2007003074;187;6795095.52;162;225;1;SANTA CRUZ PREV
30394;694;3188;2675499;2010005074;30;2411531.76;275;82;1;PRODUQUIMICA PREV
30859;697;3188;2686586;2003000747;77;0;173;195;1;SEESP PREV
30074;698;1511;2655935;1988002419;447;25113703.67;208;163;1;1
30967;699;792;2689210;1999002865;1377;159848872.8;126;187;1;PLANO 02-B - BD
30966;700;792;2689210;1999002865;0;0;0;0;2;PLANO 02-B - CD
30435;703;792;2676187;1999003047;0;0;0;0;2;PLANO 03-B - CD
30434;704;792;2676187;1999003047;212;21198681.02;126;226;3;PLANO 03-B - BD
31063;705;4131;2694319;2008003418;54;6474040.8;129;194;1;PLANO 04-B - BD
30239;707;3188;2665748;2005001211;2333;95003932.27;80;283;1;COTRIJAL PREV
30288;708;3188;2669105;2010003047;144;8811678.07;77;251;1;IGARASSU PREV
30883;709;4368;2688218;2005004211;51486;0;88;267;1;PREVER
30728;710;881;2685016;1979000247;98;12342043.74;432;27;1;PlanoCPTM
30729;713;881;2685019;1994000929;189;16060984.94;332;0;1;Plano RIOTRILHOS
30622;715;357;2683064;1993000429;11;1491077.77;312;91;1;Grupo BD
30623;716;357;2682862;2006006811;593;73841301.41;87;150;1;Grupo CD
31224;719;93;2732762;1987000129;85;3679320.19;408;36;1;Santander/Isban/Prod
31225;720;93;2732762;1987000129;6;0;420;0;2;Santander Serviços
31222;721;93;2732762;1987000129;2;0;0;0;3;Santander Corretora
31223;722;93;2732762;1987000129;1;0;0;0;4;Cabesp
30613;723;2018;2683042;1980001065;294;15130624.73;249;122;1;Plano Sergus BD
30111;724;254;2657805;1987000447;2471;152142857.8;212;155;1;Plano BD n° 02-A
30996;725;1911;2689643;1998005518;1655;131170445.3;156;716;1;UNIVALIPREVIDENCIA
30221;726;2912;2662675;2005006711;15499;1142016652;120;240;1;Votorantimprev
30509;727;2071;2678801;1986000583;563;63916689.24;192;96;1;Unisys Brasil
30800;731;2258;2685143;2007002256;178;31781377.68;116;197;1;AVAYA PREV
30404;732;4101;2675893;2002001847;11343;1019578819;160;146;1;único
30499;733;4532;2678777;2008004856;157;29168228.27;105;137;1;Plano CD
31031;740;1081;2690621;1979004374;193;12837527.56;218;149;1;RGE SUL
30377;742;1482;2674520;2005006092;956;154752000;98;223;1;ALTANAPREV
30020;746;922;2652836;1981001018;0;0;0;0;1;Plano Benefícios I
30282;747;2302;2668540;1988002011;60;2863716;252;108;1;PB1
30452;748;1482;2677469;2001000383;3912;36776990.7;144;212;1;COATS CD
30448;749;4618;2677347;2009002474;1744;0;82;237;1;SBOTPrev
31062;753;4114;2694317;2002004129;47913;898771184;84;192;1;Carrefourprev
30502;758;211;2678785;1997002329;3853;0;0;0;1;Custeio Pecúlio
30220;759;2912;2662711;1993003738;124;8417227;300;96;1;VCNE
29993;760;4221;2601637;2005000892;727;50793768.87;102;201;1;Plano JMalucelli
30536;761;93;2679033;2006007556;1;0;576;0;1;Santander
30073;763;2484;2655933;2005000183;5924;281384552.5;83;267;1;Cyamprev II
31240;764;1911;2769658;1997003211;2123;125817288.6;84;224;1;FIEP CV
30673;765;117;2683135;1979004765;126;4507760;408;36;1;BPI
30011;767;1403;2648220;2000008038;563;3695834.1;190;105;1;Grupo Único
30679;768;998;2683143;1988001129;0;0;0;0;2;Pecúlio Complementar
31148;770;196;2707672;1999004183;43;4167233.28;264;24;1;PMB
30603;773;4011;2683030;2000002056;0;0;0;0;1;PB I
31211;774;93;2726634;2005003956;205;17937596.28;204;144;1;Santander/Isban/Prod
30010;776;1403;2648217;1981000747;0;0;0;0;1;Grupo Único
30963;777;3383;2689187;1995003311;4846;293546880;119;193;3;Ford Motor Company
30593;778;4011;2683018;2000002129;2;27937.2;0;0;1;PB II
30939;780;4087;2688822;2007000156;4371;365245055.5;120;223;2;Farmaceutica
30043;782;3647;2653408;1997001829;208;5465945.4;154;160;1;Unico
30530;784;312;2679017;1978000383;693;139927248;530;0;2;Geral
30244;785;4831;2665766;1974000583;1;230074;522;0;1;PLANO BD 2
30731;786;881;2685029;2000003729;118;16184519.91;187;106;1;Plano REFER
30652;788;2231;2682886;2010002229;9018;670054703.8;129;125;1;GERAL
30584;792;4501;2682838;2007002183;236;0;102;457;1;Nordesteprev
30446;810;1482;2677446;1995000256;3;0;156;300;1;Petrocoque
30546;811;3366;2682924;1995003018;1364;182524723.4;126;217;1;RochePrev
30121;812;611;2659407;1998003183;0;0;0;0;1;ACMV
30485;814;2333;2677581;1992001065;2043;147830044;192;180;1;Plano de Benefícios
30022;815;611;2653028;1983000418;200;33268159.26;384;72;1;Franprev
30698;817;1972;2683163;2007000229;0;0;0;0;1;BásicoPlus-B.Antigo
30697;818;1972;2683163;2007000229;9;3736158;330;204;2;BásicoPlus-Bas/Supl
30592;819;4234;2682842;2004002956;8628;0;95;320;1;PBPA
30070;822;1482;2655884;1994004274;1;0;0;0;1;PREVI-FIERN BD
30078;825;1482;2655967;2005004138;0;0;0;0;1;PREVI FIERN 2 BD
30079;826;1482;2655967;2005004138;306;22148558.38;143;104;2;PREVI FIERN 2 CD
31065;828;2659;2694659;1995001783;3;655467.54;236;44;1;1
30497;829;4515;2678751;2007003538;3740;0;100;257;1;planjus
30302;830;1434;2669211;1986000192;8;512112.64;362;124;1;1
30305;831;1434;2669223;2005005029;2310;214971312.4;78;243;1;2
31008;833;3126;2690135;2006004711;778;54596469.2;119;227;1;belocal
30514;837;223;2678811;2011000874;45;11253491.37;217;119;1;PBDC
30012;838;1403;2648224;2008004783;67;62225.11;434;4;1;Grupo Único
30197;839;3438;2662247;2000003011;3228;155595937.8;180;180;1;Otis
30574;858;953;2682973;1976000238;12;810618.27;0;0;1;Plano Custeio Único
30559;859;4131;2682950;1989001165;0;0;0;0;1;Plano I
30595;862;4011;2683022;2000002218;4;0;256;66;1;PB III
30234;863;4248;2664738;2000001718;15;1512620.72;348;84;1;PBS Telesp
30168;866;611;2661449;2006005383;2;0;384;24;1;Banorte II
31167;868;1081;2712394;1979004447;182;577667.48;380;12;1;CEEE
30072;872;2484;2655931;2004001992;585;48663331.6;297;93;1;Cyamprev
30978;873;117;2689567;2009001338;5049;462378511;112;233;1;Banrisul
30647;874;2141;2683093;1980001219;0;0;0;0;1;Assistidos
30142;876;2052;2661004;1990000983;103;50438061;180;84;1;Texprev
30730;877;881;2685023;1999004256;121;12699003.85;379;3;1;Plano RFFSA
30225;878;2823;2663348;1994000465;8742;544575179;108;216;1;Plano Previsenac
30495;879;4131;2677601;2006006665;160;6238328.64;142;159;1;Plano R
31045;880;1911;2692136;1998004147;141;7111749.58;168;174;1;CATOLICA SC
30224;881;2823;2663346;1994000538;7427;634349205.5;132;204;1;Plano Previsesc
30920;882;881;2688389;2000003656;2003;299054322.1;243;72;1;Plano CBTU
30635;883;1239;2683072;1982002174;308;54057450.98;377;38;1;BSPS
30816;885;2258;2685206;1993003029;331;29556179.04;107;190;1;Novozymes Latin Amer
30376;888;1482;2674587;1999000218;995;28500515.04;84;332;1;COOPER TOOLS
31206;889;4371;2721297;2005004911;22720;0;36;24;1;CIASPREV
30868;890;1081;2686723;1979004692;17;1679979.99;385;37;1;RGE
30127;891;134;2659673;1986000818;4695;707536491;108;240;1;PlanoBASF
