NU_CNPB_PLANO_DA;ID_BENEFICIO_DA;NM_BENEFICIO_DA;IN_PROGRAMADO;NM_REGIME_FINANCEIRO;NM_METODO_FINANCIAMENTO;TE_REGRA_NIVEL_BASICO;IN_AGREGACAO
1998004783;111206;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O ABONO ANUAL É O VALOR CORRESPONDENTE AO VALOR DO BENEFICIO DO MES, É PRESSUPOSTO INDISPENSÁVEL PARA PAGAMENTO DO ABONO ANUAL QUE HAJACOTAS SUFICIENTES NO SALDO DE CONTA DO PARTICIPANTE OU NÃO TENHA EXPIRADO O PRAZO PARA RECEBIMENTO DO BENEFÍCIO, CONFORME O CASO;0
1979001911;111243;ABONO ANUAL;1;Capitalização;AGREGADO;"ARTIGO 83 DO REGULAMENTO DO PLANO - O ABONO ANUAL CONSISTIRÁ EM UMA PRESTAÇÃO PECUNIÁRIA ANUAL, PAGA AO PARTICIPANTE ASSISTIDO NO MÊS DE DEZEMBRO, CORRESPONDENTE A 1/12 (UM DOZE AVOS) DA COMPLEMENTAÇÃO DEVIDA EM DEZEMBRO,  MULTIPLICADO PELO NÚMERO DE MESES EM QUE TIVER RECEBIDO COMPLETAMENTAÇÃO DE BENEFÍCIO DURANTE O ANO CORRESPONDENTE. 
OBSERVADO PARAGRAFO ÚNICO";0
1993001565;111271;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;CONSISTIRÁ EM UM ÚNICOPAGAMENTO ANUAL, A TÍTULO DE 13º SALÁRIO, A SER EFETUADO NO MÊS DE DEZEMBRO, DE VALOR IGUAL À MAIOR COMPLEMENTAÇÃO MENSAL RECEBIDA NO EXERCÍCIO OU PORPORCIONAL AO NÚMERO DE COMPLEMENTAÇÃO RECEBIDA NO EXERCÍCIO.;0
2009002865;111300;ABONO ANUAL;0;Capitalização;AGREGADO;"O ABONO ANUAL SERÁ CONCEDIDO NO MÊS DE DEZEMBRO, AO ASSISTIDO QUE ESTIVER RECEBENDO BENEFÍCIO DE PRESTAÇÃO MENSAL POR FORÇA DESTE REGULAMENTO, DESDE QUE NÃO TENHA ESGOTADO O SALDO DE CONTA TOTAL.
O VALOR DO ABONO ANUAL CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MÊS DE DEZEMBRO, SE HOUVER SALDO SUFICIENTE NO SALDO DE CONTA TOTAL. NÃO HAVENDO SALDO SUFICIENTE, O VALOR DO ABONO ANUAL CORRESPONDERÁ AO VALOR DO SALDO DE CONTA TOTAL EXISTENTE, SENDO EXTINTA TODA E QUALQUER OBRIGAÇÃO DA FUNDAÇÃO PERANTE O PARTICIPANTE, SEUS BENEFICIÁRIOS E HERDEIROS LEGAIS. 
O PAGAMENTO DO ABONO ANUAL SERÁ EFETUADO, A CRITÉRIO DA FUNDAÇÃO, ATÉ O ÚLTIMO DIA DO MÊS DE DEZEMBRO, PODENDO OCORRER ANTECIPAÇÃO, CONFORME DECISÃO DA FUNDAÇÃO.";0
1980001529;111321;ABONO ANUAL;0;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"O ABONO ANUAL CORRESPONDERÁ PARA OS PARTICIPANTES ASSISTIDOS , À DIFERENÇA ENTRE O VALOR DO SALÁRIO PROPORCIONADO PELA PREVIDÊNCIA OFICIAL E O VALOR DO BENEFÍCIO TOTAL DO MES DEZEMBRO(APOSENTADORIA + SUPLEMENTAÇÃO)
PARA OS DEPENDENTES VALOR IDÊNTICO AO BENEFÍCIO MENSAL QUE LHES FOR CONCEDIDO NO MÊS DE DEZEMBRO.";0
1998002918;111333;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;1/12 X RENDA MENSAL X Nº DE MESES DO BENEFÍCIO RECEBIDO NO ANO;0
2012000274;111409;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;CONSISTIRÁ EM UM BENEFÍCIO QUE SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANO AO PARTICPANTE QUE ESTIVER RECEBENDO BENEFÍCIO DE RESTAÇÃO MENSAL.;0
2006005383;111440;ABONO ANUAL;1;Capitalização;IDADE DE ENTRADA;1/365 DO BENEFÍCIO POR DIA DE RECEBIMENTO;0
2011001838;111500;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;TRANSFORMAÇÃO DO SALDO DE CONTA TOTAL.;0
2020003392;111529;ABONO ANUAL;0;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"NÃO SERÁ DEVIDO O ABONO ANUAL QUANDO TIVER ESGOTADO O SALDO DE CONTA APLICÁVEL.
O PAGAMENTO DO ABONO ANUAL SERÁ EFETUADO, COM BASE EM CRITÉRIOS UNIFORMES E NÃO
DISCRIMINATÓRIOS, NO MÊS DE DEZEMBRO DE CADA ANO.";0
2016002018;111537;ABONO ANUAL;0;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O VALOR O ABONO ANUAL DO BENEFÍCIO CONCEDIDO NA FORMA DE RENDA MENSAL VITALICIA SERÁ IGUAL A 1/12(U DOZE AVOS) DO VALOR DO BENEFÍCIO DO MÊS DE DEZEMBRO EM TANTOS QUANTOS FOREM O MESES DE VIGÊNCIA DOS RESPECTIVOS BENEFÍCIOS NO EXERCÍCIO, ATÉ O MÁXIMO DE 12/12(DOZE AVOS).;0
1993003738;111643;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O VALOR DO ABONO ANUAL DEVIDO AOS PARTICIPANTES E AOS BENEFICIÁRIOS CORRESPONDERÁ AO VALOR DO BENEFÍCIO DE RENDA MENSAL RECEBIDO NO MÊS DE DEZEMBRO.;0
1994000538;111673;ABONO ANUAL;0;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"O VALOR DO ABONO ANUAL DO BENEFÍCIO CONCEDIDO NA FORMA DE RENDA VITALÍCIA SERÁ IGUAL A TANTOS 1/12 (UM DOZE AVOS) DO VALOR DO BENEFÍCIO RELATIVO À COMPETÊNCIA DO MÊS DE DEZEMBRO OU DO MÊS DO PAGAMENTO QUANTOS FOREM OS MESES DE VIGÊNCIA DO RESPECTIVO BENEFÍCIO NO EXERCÍCIO.

O ABONO ANUAL DEVIDO AOS PARTICIPANTES E BENEFICIÁRIOS, CUJO BENEFÍCIO TENHA SIDO CONCEDIDO NA FORMA DE RENDA DEFINIDA EM REAIS OU POR PRAZO DETERMINADO OU CORRESPONDENTE A UM PERCENTUAL DO SALDO DE CONTA TOTAL, OU QUE ESTEJAM RECEBENDO BENEFÍCIO ADICIONAL CORRESPONDERÁ AO VALOR DO BENEFÍCIO DO MÊS DE DEZEMBRO DE CADA ANO OU DO MÊS DO PAGAMENTO, QUANDO ANTERIOR.";0
2016001674;111704;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"O ABONO ANUAL NA HIPÓTESE DE BENEFÍCIO DE INCAPACIDADE E PENSÃO POR MORTE DEVIDA NA FORMA PREVISTA NOS INCISOS III E IV DO ITEM 7.21 CORRESPONDERÁ 1/12(UM DOZE AVOS) DO VALOR DO RESPECTIVO BENEFÍCIO, RELATIVO À COMPETÊNCIA DE DEZEMBRO OU DA DATA DA CESSAÇÃO DO BENEFÍCIO, SE ANTERIOR, MULTIPLICADO PELO NÚMERO DE MESES EM QUE RECEBEU O BENEFÍCIO NO DECORRER DO ANO.

O ABONO ANUAL NA HIPÓTESE DE BENEFÍCIO CONCEDIDO POR PRAZO DETERMINADO, PERCENTUAL DO SALDO DE CONTA OU VALOR FIXO EM REAIS, CORRESPONDERÁ AO VALOR DO BENEFÍCIO RELATIVO À COMPETÊNCIA DE DEZEMBRO.";0
2000001718;111731;ABONO ANUAL;1;Capitalização;AGREGADO;"BSD*(K/12);
ONDE:
BSD - BENEFÍCIO SISTEL PERCEBIDO NO MÊS DE DEZEMBRO;
K - NÚMERO DE MESES DO ANO CIVIL EM QUE O PARTICIPANTE TENHA RECEBIDO O BENEFÍCIO SISTEL.";0
2013001983;111772;ABONO ANUAL;0;Capitalização;CAPITALIZAÇÃO FINANCEIRA;CORRESPONDERÁ AO VALOR DO BENEFÍCIO DO MÊS DE DEZEMBRO.;0
1989000665;111810;ABONO ANUAL;1;Capitalização;AGREGADO;1/12 DO COMPLEMENTO RECEBIDO PELO PLANO, MULTIPLICADO PELO Nº DE MESES DE RECEBIMENTO DO COMPLEMENTO.;0
1989000592;111837;ABONO ANUAL;1;Capitalização;AGREGADO;1/12 VEZES O COMPLEMENTO RECEBIDO NO MÊS DE DEZEMBRO VEZES O Nº DE MESES DE RECEBIMENTO DO COMPLEMENTO.;0
2008003329;111891;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANO E CORRESPONDERÁ AO VALOR DO BENEFÍCIO DE PRESTAÇÃO CONTINUADA RECEBIDO NO MESMO MÊS, O VALOR DO PRIMEIRO PAGAMENTO DO ABONO ANUAL CORRESPONDERÁ A TANTOS DOZE AVOS QUANTOS FOREM O NÚMERO DE MESES ENTRE O PRIMEIRO PAGAMENTO DE PRESTAÇÃO CONTINUADO E O MÊS DE DEZEMBO, INCLUSIVE.;0
2010003438;111942;ABONO ANUAL;0;Capitalização;CRÉDITO UNITÁRIO PROJETADO;CORRESPONDERÁ A 1/12 (UM DOZE AVOS) QUANTOS FOREM OS MESES DE VIGÊNCIA DO RESPECTIVO BENEFÍCIO EM EXERCÍCIO, APLICADOS SOBRE A PARCELA DO BENEFÍCIO PAGO OU QUE SERIA NO MÊS DE DEZEMBRO DO ANO DE COMPETÊNCIA.;0
2000001238;111978;ABONO ANUAL;1;Capitalização;AGREGADO;"ART. 53 O ABONO ANUAL SERÁ PAGO AOS ASSISTIDOS, QUE ESTEJAM RECEBENDO BENEFÍCIO, EM DUAS PARCELAS: NO MÊS DE JULHO SERÁ CREDITADO 50%(CINQUENTA POR CENTO) DO VALOR DO BENEFÍCIO MENSAL COMO FORMA DE ANTECIPAÇÃO DO ABONO ANUAL E NO MÊS DE DEZEMBRO OS 50% (CINQUENTA POR CENTO) DO VALOR DO BENEFÍCIO MENSAL RESTANTES.
PARÁGRAFO ÚNICO ¿ AS PARCELAS DOS PAGAMENTOS DO BENEFÍCIO DE ABONO ANUAL SERÃO EFETUADAS JUNTAMENTE COM O BENEFÍCIO DO MÊS.
ART. 54 O ABONO ANUAL CORRESPONDERÁ A TANTOS 1/12(UM DOZE AVOS) DO VALOR DO BENEFÍCIO DEVIDO OU QUE SERIA DEVIDO, CASO O PARTICIPANTE ESTIVESSE EM BENEFÍCIO NO MÊS DE DEZEMBRO, QUANTOS FOREM OS MESES DE SEU RECEBIMENTO NO ANO CIVIL.
§1° SERÁ CONSIDERADO MÊS COMPLETE AQUELE EM QUE O PARTICIPANTE OU BENEFICIÁRIO TIVER RECEBIDO O BENEFÍCIO POR UM PERÍODO NÃO INFERIOR A 15(QUINZE) DIAS.
§2° NO ANO DA CONCESSÃO DA APOSENTADORIA, O PARTICIPANTE NÃO SERÁ PASSÍVEL DA ANTECIPAÇÃO DO ABONO ANUAL (PRIMEIRA PARCELA), RECEBENDO APENAS A PARCELA NO MÊS DE DEZEMBRO.";0
2000001092;111989;ABONO ANUAL;1;Capitalização;AGREGADO;"ART. 53 O ABONO ANUAL SERÁ PAGO AOS ASSISTIDOS, QUE ESTEJAM RECEBENDO BENEFÍCIO, EM DUAS PARCELAS: NO MÊS DE JULHO SERÁ CREDITADO 50% (CINQUENTA POR CENTO) DO VALOR DO BENEFÍCIO MENSAL
COMO FORMA DE ANTECIPAÇÃO DO ABONO ANUAL E NO MÊS DE DEZEMBRO OS 50%(CINQUENTA POR CENTO)
DO VALOR DO BENEFÍCIO MENSAL RESTANTES.PARÁGRAFO ÚNICO ¿ AS PARCELAS DOS PAGAMENTOS DO BENEFÍCIO DE ABONO ANUAL SERÃO EFETUADAS JUNTAMENTE COM O BENEFÍCIO DO MÊS. ART. 54 O ABONO ANUAL CORRESPONDERÁ A TANTOS 1/12 (UM DOZE AVOS) DO VALOR DO BENEFÍCIO DEVIDO OU QUE SERIA DEVIDO, CASO O PARTICIPANTE ESTIVESSE EM BENEFÍCIO NO MÊS DE DEZEMBRO, QUANTOS FOREM OS
MESES DE SEU RECEBIMENTO NO ANO CIVIL. §1° SERÁ CONSIDERADO MÊS COMPLETO AQUELE EM QUE O PARTICIPANTE OU BENEFICIÁRIO TIVER RECEBIDO O BENEFÍCIO POR UM PERÍODO NÃO INFERIOR A 15 (QUINZE) DIAS. §2° NO ANO DA CONCESSÃO DA APOSENTADORIA, O PARTICIPANTE NÃO SERÁ PASSÍVEL DA ANTECIPAÇÃO
DO ABONO ANUAL (PRIMEIRA PARCELA), RECEBENDO APENAS A PARCELA NO MÊS DE DEZEMBRO";0
2000000118;112000;ABONO ANUAL;1;Capitalização;AGREGADO;"ART. 313 ¿ O ABONO ANUAL SERÁ PAGO AOS PARTICIPANTES ASSISTIDOS OU BENEFICIÁRIOS, QUE ESTEJAM RECEBENDO BENEFÍCIO, EM DUAS PARCELAS: NO MÊS DE JULHO SERÁ CREDITADO 50% (CINQUENTA POR CENTO) DO VALOR DO BENEFÍCIO MENSAL COMO FORMA DE ANTECIPAÇÃO DO ABONO ANUAL E NO MÊS DE DEZEMBRO OS 50% (CINQUENTA POR CENTO) DO VALOR DO BENEFÍCIO MENSAL RESTANTES.
PARÁGRAFO 1º - AS PARCELAS DOS PAGAMENTOS DO BENEFÍCIO DE ABONO ANUAL SERÃO EFETUADAS JUNTAMENTE COM O BENEFÍCIO DO MÊS.
PARÁGRAFO 2º - NO ANO DA CONCESSÃO DA APOSENTADORIA, O PARTICIPANTE NÃO SERÁ PASSÍVEL DA ANTECIPAÇÃO DO ABONO ANUAL (PRIMEIRA PARCELA), RECEBENDO APENAS A PARCELA NO MÊS DE DEZEMBRO.";0
2006000438;112092;ABONO ANUAL;0;Capitalização;CAPITALIZAÇÃO FINANCEIRA;CORRESPONDERÁ AO VALOR DO BENEFÍCIO DO MÊS DE DEZEMBRO.;0
2015000747;112140;ABONO ANUAL;0;Repartição de Capital de Cobertura;;"PARA OS BENEFÍCIOS DE SUPLEMENTAÇÃO DA APOSENTADORIA POR INVALIDEZ, SUPLEMENTAÇÃO DA PENSÃO POR MORTE E SUPLEMENTAÇÃO DO AUXÍLIO DOENÇA, É GARANTIDO O ABONO ANUAL, QUE É IGUAL AO MAIOR VALOR PAGO NO EXERCÍCIO, SENDO QUE, QUANDO O PERÍODO DO DO BENEFÍCIO NÃO COBRIR O ANO TODO, O VALOR DO ABONO SERÁ PROPORCIONAL A
QUANTIDADE DE MESES SUPLEMENTADOS NO EXERCÍCIO.";0
2000001319;112164;ABONO ANUAL;1;Capitalização;AGREGADO;"BSD*(K/12);
ONDE:
BSD - BENEFÍCIO SISTEL PERCEBIDO NO MÊS DE DEZEMBRO;
K - NÚMERO DE MESES DO ANO CIVIL EM QUE O PARTICIPANTE TENHA RECEBIDO O BENEFÍCIO SISTEL.";0
1971000183;112177;ABONO ANUAL;1;Capitalização;IDADE DE ENTRADA;"M/12 * BA,  ONDE:

M = NÚMERO DE MESES NO ANO DURANTE OS QUAIS O PARTICIPANTE ESTEVE EM GOZO DE BENEFÍCIO.
BA = BENEFÍCIO DE APOSENTADORIA REFERENTE AO MÊS DE DEZEMBRO.";0
1989001238;112218;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"CONSISTIRÁ EM UM BENEFÍCIO DE PRESTAÇÃO ANUAL, QUE SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANO, AO PARTICIPANTE OU BENEFICIÁRIO QUE ESTEJA RECEBENDO ALGUM BENEFÍCIO DE PRESTAÇÃO CONTINUADA DO PLANO, E CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS.

O PRIMEIRO PAGAMENTO DO ABONO ANUAL CORRESPONDERÁ A TANTOS DOZE AVOS QUANTOS FOREM OS NÚMEROS DE MESES ENTRE O PRIMEIRO PAGAMENTO DE PRESTAÇÃO CONTINUADA E O MESMO DE DEZEMBRO INCLUSIVE.";0
1996003038;112291;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"SERÁ CONCEDIDO AO PARTICIPANTE OU AO BENEFICIÁRIO, CONFORME O CASO, QUE ESTIVER RECEBENDO OU QUE TENHA RECEBIDO NO EXERCÍCIO BENEFÍCIO DE PRESTAÇÃO MENSAL PELO PLANO.
PARA OS PARTICIPANTES QUE RECEBEM BENEFÍCIO NA FORMA DISPOSTA NO SUBITEM 7.49.1 E PARA O BENEFICIÁRIO QUE RECEBE PENSÃO POR MORTE NA FORMA DE RENDA MENSAL VITALÍCIA, O VALOR DO ABONO ANUAL SERÁ IGUAL A 1/12 DO VALOR DO BENEFÍCIO DA COMPETÊNCIA DEZEMBRO, QUANTOS FOREM OS MESES DOS RESPECTIVOS BENEFÍCIOS DEVIDOS NO EXERCÍCIO, ATÉ O MÁXIMO DE 12/12. 
PARA OS PARTICIPANTES E BENEFICIÁRIOS QUE RECEBEM BENEFÍCIO NA FORMA DISPOSTA NO ITEM 7.49 O VALOR DO ABONO ANUAL CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS. OCORRENDO A CESSAÇÃO DE BENEFÍCIO ANTES DO MÊS DE DEZEMBRO, O VALOR DO ABONO ANUAL SERÁ IGUAL A 1/12 DO VALOR DO BENEFÍCIO NO MÊS DA CESSAÇÃO QUANTOS FOREM OS MESES DO BENEFÍCIO DEVIDO NO EXERCÍCIO, ATÉ O MAX DE 12/12. O BENEFÍCIO SERÁ PAGO NO  MÊS DE DEZEMBRO.";0
1998002292;112305;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"O ABONO ANUAL CORRESPONDERÁ A 1/12 (UM DOZE AVOS) DO VALOR MENSAL DO ÚLTIMO BENEFÍCIO
PAGO, POR MÊS DE VIGÊNCIA DO BENEFÍCIO NO EXERCÍCIO, CONSIDERANDO-SE A FRAÇÃO IGUAL OU
SUPERIOR A 15 (QUINZE) DIAS COMO MÊS INTEGRAL. (ART. 49 - PARÁGRAFO ÚNICO).";0
2004000929;112332;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;"O ABONO ANUAL DEVIDO AOS PARTICIPANTES EM GOZO DE BENEFÍCIO PELO PLANO E AOS BENEFICIÁRIOS EM GOZO DE PENSÃO POR MORTE OU AUXÍLIO-RECLUSÃO SERÁ IGUAL AO VALOR DO BENEFÍCIO PAGO NO MÊS DE DEZEMBRO DE CADA ANO.
O ABONO ANUAL DO PARTICIPANTE EM GOZO DE AUXÍLIO-DOENÇA CORRESPONDERÁ A 1/12 (UM DOZE AVOS) DO VALOR DO BENEFÍCIO PAGO NO MÊS DE DEZEMBRO OU NO MÊS DA CESSAÇÃO, SE ANTERIOR, QUANTOS FOREM OS MESES DE VIGÊNCIA DO RESPECTIVO BENEFÍCIO NO EXERCÍCIO, ATÉ O MÁXIMO DE 12/12 (DOZE, DOZE AVOS) (ART.84).";0
1990002129;112349;ABONO ANUAL;1;Capitalização;SISTEMA MISTO;CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS;0
2000007074;112402;ABONO ANUAL;1;Capitalização;SISTEMA MISTO;PROPORCIONAL À QUANTIDADE DE MESES DE RECEBIMENTO DO BENEFÍCIO NO ANO.;0
1999000218;112424;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O ABONO ANUAL SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANO E CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS.;0
1996003811;112450;ABONO ANUAL;1;Capitalização;CAPITALIZAÇÃO FINANCEIRA;O ABONO ANUAL CONSISTIRÁ EM UM BENEFÍCIO QUE SERÁ PAGO NO MÊS DE DEZEMBRO DE CADA ANO AO PARTICIPANTE QUE ESTIVER RECEBENDO BENEFÍCIO DE PRESTAÇÃO MENSAL;0
1988002338;112535;ABONO ANUAL;1;Capitalização;AGREGADO;1/12 DA COMPLEMENTAÇÃO RECEBIDA NO MÊS DE DEZEMBRO, MULTIPLICADA PELO Nº DE MESES DE RECEBIMENTO DO COMPLEMENTO.;0
1993002911;112704;ABONO ANUAL;1;Capitalização;CRÉDITO UNITÁRIO PROJETADO;CONSISTIRÁ EM UM BENEFÍCIO ANUAL QUE SERÁ PAGO NO MÊS DE DEZEMBRO AO PARTICIPANTE OU BENEFICIÁRIO QUE ESTIVER RECEBENDO BENEFÍCIO DE PRESTAÇÃO MENSAL DO PLANO E CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS.;0
1995000256;112709;ABONO ANUAL;1;Capitalização;SISTEMA MISTO;CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MESMO MÊS. O PRIMEIRO PAGAMENTO DO ABONO ANUAL DEVERÁ SER MULTIPLICADO POR UMA FRAÇÃO ONDE O NUMERADOR SERÁ O NÚMERO DE PRESTAÇÕES MENSAIS DO BENEFÍCIO RECEBIDAS NO ANO E O DENOMINADOR SERÁ IGUAL A 12 (DOZE) (MÉTODO DE AVALIAÇÃO: MESMO REGIME E MÉTODO DO BENEFÍCIO AO QUAL ESTÁ ASSOCIADO).;0
2011001129;112764;ABONO ANUAL;1;Capitalização;AGREGADO;"O VALOR DO ABONO ANUAL CORRESPONDERÁ AO VALOR DO BENEFÍCIO RECEBIDO NO MÊS DE
DEZEMBRO SE HOUVER SALDO SUFICIENTE NO SALDO DE CONTA TOTAL. O PAGAMENTO SERÁ EFETUADO ATÉ O ÚLTIMO DIA DO MÊS DE DEZEMBRO.";0
1978000456;112772;ABONO ANUAL;1;Capitalização;AGREGADO;A PRESTAÇÃO PREVIDENCIÁRIA DO ABONO ANUAL SERÁ PAGA AOS ASSISTIDOS OU BENEFICIÁRIOS NO MÊS DE DEZEMBRO DE CADA ANO E CORRESPONDERÁ A TANTOS TREZENTOS E SESSENTA E CINCO AVOS DO VALOR DA PRESTAÇÃO PREVIDENCIÁRIA REFERENTE À AQUELE MÊS, QUANTOS FORAM OS DIAS EM QUE O DESTINATÁRIO SE MANTEVE EM GOZO DE BENEFÍCIO.(ART. 38).;0
